Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testSuite1,Chrome 65.0.3325.162,,2018-03-19 15:56:36,2018-03-19 15:57:04,27.802s,FAILED
,,,,,,
Test Cases/New Test Case,Chrome 65.0.3325.162,,2018-03-19 15:56:38,2018-03-19 15:57:04,26.275s,FAILED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 15:56:39,2018-03-19 15:56:44,5.277s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-19 15:56:44,2018-03-19 15:56:52,7.436s,PASSED
maximizeWindow,Chrome 65.0.3325.162,,2018-03-19 15:56:52,2018-03-19 15:56:52,0.417s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 15:56:52,2018-03-19 15:56:53,0.724s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:56:53,2018-03-19 15:56:53,0.205s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:56:53,2018-03-19 15:56:53,0.364s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:56:53,2018-03-19 15:56:54,0.124s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:56:54,2018-03-19 15:56:57,3.346s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 15:56:57,2018-03-19 15:56:57,0.054s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:56:57,2018-03-19 15:56:57,0.174s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:56:57,2018-03-19 15:56:59,2.267s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:56:59,2018-03-19 15:57:00,0.222s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-19 15:57:00,2018-03-19 15:57:00,0.683s,PASSED
sendKeys,Chrome 65.0.3325.162,,2018-03-19 15:57:00,2018-03-19 15:57:01,0.410s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 15:57:01,2018-03-19 15:57:01,0.408s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 15:57:01,2018-03-19 15:57:02,0.404s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 15:57:02,2018-03-19 15:57:02,0.061s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:57:02,2018-03-19 15:57:02,0.217s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-19 15:57:02,2018-03-19 15:57:03,1.167s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:57:03,2018-03-19 15:57:04,0.978s,FAILED
