Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testSuite1,Chrome 65.0.3325.162,,2018-03-19 15:57:43,2018-03-19 15:58:10,27.491s,FAILED
,,,,,,
Test Cases/New Test Case,Chrome 65.0.3325.162,,2018-03-19 15:57:44,2018-03-19 15:58:10,25.867s,FAILED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 15:57:45,2018-03-19 15:57:51,5.556s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-19 15:57:51,2018-03-19 15:57:59,7.910s,PASSED
maximizeWindow,Chrome 65.0.3325.162,,2018-03-19 15:57:59,2018-03-19 15:57:59,0.331s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 15:57:59,2018-03-19 15:57:59,0.163s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:57:59,2018-03-19 15:57:59,0.179s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:57:59,2018-03-19 15:58:00,0.259s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:58:00,2018-03-19 15:58:00,0.156s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:58:00,2018-03-19 15:58:03,2.839s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 15:58:03,2018-03-19 15:58:03,0.061s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:58:03,2018-03-19 15:58:03,0.214s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:58:03,2018-03-19 15:58:05,2.165s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:58:05,2018-03-19 15:58:05,0.332s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-19 15:58:05,2018-03-19 15:58:06,0.630s,PASSED
sendKeys,Chrome 65.0.3325.162,,2018-03-19 15:58:06,2018-03-19 15:58:07,0.531s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 15:58:07,2018-03-19 15:58:07,0.384s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 15:58:07,2018-03-19 15:58:07,0.406s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 15:58:07,2018-03-19 15:58:07,0.100s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:58:07,2018-03-19 15:58:08,0.248s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-19 15:58:08,2018-03-19 15:58:09,1.192s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 15:58:09,2018-03-19 15:58:10,0.966s,FAILED
