Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testSuite1,Chrome 65.0.3325.162,,2018-03-19 16:02:50,2018-03-19 16:03:46,55.433s,FAILED
,,,,,,
Test Cases/New Test Case,Chrome 65.0.3325.162,,2018-03-19 16:02:51,2018-03-19 16:03:46,54.252s,FAILED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 16:02:52,2018-03-19 16:02:56,3.749s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-19 16:02:56,2018-03-19 16:03:04,8.216s,PASSED
maximizeWindow,Chrome 65.0.3325.162,,2018-03-19 16:03:04,2018-03-19 16:03:05,0.426s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 16:03:05,2018-03-19 16:03:05,0.156s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:03:05,2018-03-19 16:03:05,0.134s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:03:05,2018-03-19 16:03:05,0.144s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:03:05,2018-03-19 16:03:05,0.111s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:03:05,2018-03-19 16:03:40,34.670s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 16:03:40,2018-03-19 16:03:40,0.038s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:03:40,2018-03-19 16:03:40,0.143s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:03:40,2018-03-19 16:03:44,3.741s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:03:44,2018-03-19 16:03:44,0.123s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-19 16:03:44,2018-03-19 16:03:45,1.113s,PASSED
sendKeys,Chrome 65.0.3325.162,,2018-03-19 16:03:45,2018-03-19 16:03:46,0.547s,FAILED
