Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testSuite1,Chrome 65.0.3325.162,,2018-03-19 16:01:16,2018-03-19 16:01:33,17.168s,FAILED
,,,,,,
Test Cases/New Test Case,Chrome 65.0.3325.162,,2018-03-19 16:01:16,2018-03-19 16:01:33,16.187s,FAILED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 16:01:17,2018-03-19 16:01:21,3.702s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-19 16:01:21,2018-03-19 16:01:26,4.500s,PASSED
maximizeWindow,Chrome 65.0.3325.162,,2018-03-19 16:01:26,2018-03-19 16:01:26,0.412s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 16:01:26,2018-03-19 16:01:26,0.092s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:01:26,2018-03-19 16:01:26,0.167s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:01:26,2018-03-19 16:01:26,0.115s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:01:26,2018-03-19 16:01:26,0.083s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:01:26,2018-03-19 16:01:28,1.576s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 16:01:28,2018-03-19 16:01:28,0.044s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:01:28,2018-03-19 16:01:28,0.127s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:01:28,2018-03-19 16:01:29,1.226s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:01:29,2018-03-19 16:01:30,0.121s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-19 16:01:30,2018-03-19 16:01:30,0.578s,PASSED
sendKeys,Chrome 65.0.3325.162,,2018-03-19 16:01:30,2018-03-19 16:01:30,0.246s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 16:01:30,2018-03-19 16:01:31,0.179s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 16:01:31,2018-03-19 16:01:31,0.182s,PASSED
scrollToElement,Chrome 65.0.3325.162,,2018-03-19 16:01:31,2018-03-19 16:01:31,0.037s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:01:31,2018-03-19 16:01:31,0.105s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-19 16:01:31,2018-03-19 16:01:32,1.091s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 16:01:32,2018-03-19 16:01:33,0.713s,FAILED
