Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testSuite1,Chrome 65.0.3325.181,,2018-03-28 15:24:28,2018-03-28 15:24:50,21.772s,FAILED
,,,,,,
Test Cases/New Test Case,Chrome 65.0.3325.181,,2018-03-28 15:24:29,2018-03-28 15:24:49,20.816s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-28 15:24:29,2018-03-28 15:24:33,3.522s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-28 15:24:33,2018-03-28 15:24:38,5.508s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-03-28 15:24:38,2018-03-28 15:24:38,0.283s,PASSED
scrollToElement,Chrome 65.0.3325.181,,2018-03-28 15:24:38,2018-03-28 15:24:39,0.101s,PASSED
click,Chrome 65.0.3325.181,,2018-03-28 15:24:39,2018-03-28 15:24:39,0.508s,PASSED
click,Chrome 65.0.3325.181,,2018-03-28 15:24:39,2018-03-28 15:24:39,0.113s,PASSED
click,Chrome 65.0.3325.181,,2018-03-28 15:24:39,2018-03-28 15:24:39,0.078s,PASSED
click,Chrome 65.0.3325.181,,2018-03-28 15:24:39,2018-03-28 15:24:44,4.925s,PASSED
scrollToElement,Chrome 65.0.3325.181,,2018-03-28 15:24:44,2018-03-28 15:24:44,0.048s,PASSED
click,Chrome 65.0.3325.181,,2018-03-28 15:24:44,2018-03-28 15:24:44,0.131s,PASSED
click,Chrome 65.0.3325.181,,2018-03-28 15:24:44,2018-03-28 15:24:46,1.596s,PASSED
click,Chrome 65.0.3325.181,,2018-03-28 15:24:46,2018-03-28 15:24:46,0.113s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-28 15:24:46,2018-03-28 15:24:47,0.621s,PASSED
sendKeys,Chrome 65.0.3325.181,,2018-03-28 15:24:47,2018-03-28 15:24:47,0.267s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-28 15:24:47,2018-03-28 15:24:47,0.207s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-28 15:24:47,2018-03-28 15:24:47,0.239s,PASSED
scrollToElement,Chrome 65.0.3325.181,,2018-03-28 15:24:47,2018-03-28 15:24:47,0.040s,PASSED
click,Chrome 65.0.3325.181,,2018-03-28 15:24:47,2018-03-28 15:24:48,0.117s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-28 15:24:48,2018-03-28 15:24:49,1.091s,PASSED
click,Chrome 65.0.3325.181,,2018-03-28 15:24:49,2018-03-28 15:24:49,0.648s,FAILED
